timestamp,Kp,minimum,maximum,Speed,Bz,By,Bx,IMF_Magnitude,Proton_Density,Temperature,PlasmaB
2025-08-15 00:00:00,,,,440.0,-3.2,1.9,-2.8,5.0,95765.0,3.9,1.5
2025-08-15 01:00:00,,,,434.0,-3.8,-0.0,-1.0,5.1,108934.0,3.8,1.44
2025-08-15 02:00:00,,,,455.0,-0.9,3.9,-2.4,5.4,95453.0,3.9,1.6
2025-08-15 03:00:00,,,,428.0,-3.6,2.6,-0.2,5.2,100191.0,3.7,1.36
2025-08-15 04:00:00,,,,443.0,-1.5,4.2,-1.3,5.6,88942.0,3.6,1.4
2025-08-15 05:00:00,,,,460.0,0.9,5.2,-1.1,5.7,71380.0,3.3,1.36
2025-08-15 06:00:00,,,,449.0,-0.1,5.4,-1.6,6.0,69540.0,3.2,1.25
2025-08-15 07:00:00,,,,457.0,1.7,5.4,-0.9,6.0,63477.0,3.4,1.37
2025-08-15 08:00:00,,,,458.0,1.6,5.4,-1.5,6.0,60016.0,3.3,1.32
2025-08-15 09:00:00,,,,439.0,-0.9,5.0,-0.7,5.8,61940.0,3.4,1.24
2025-08-15 10:00:00,,,,433.0,-1.0,5.1,-0.0,5.5,64603.0,3.5,1.24
2025-08-15 11:00:00,,,,435.0,-1.0,3.4,-0.4,4.6,106941.0,3.6,1.33
2025-08-15 12:00:00,,,,436.0,-0.6,3.7,-1.6,4.6,111342.0,3.6,1.34
2025-08-15 13:00:00,,,,423.0,-2.1,2.3,-1.2,4.1,122460.0,3.7,1.31
2025-08-15 14:00:00,,,,401.0,-4.1,0.3,-0.3,4.3,105908.0,3.0,0.94
2025-08-15 15:00:00,,,,396.0,-4.2,0.7,-0.3,4.5,77444.0,2.7,0.79
2025-08-15 16:00:00,,,,399.0,-3.7,0.9,-1.7,4.7,75553.0,3.3,1.0
2025-08-15 17:00:00,,,,388.0,-4.0,-0.9,-2.0,4.6,66172.0,3.2,0.93
2025-08-15 18:00:00,,,,382.0,-4.1,0.0,-1.8,4.5,57948.0,3.3,0.91
2025-08-15 19:00:00,,,,380.0,-3.2,2.4,-0.9,4.4,60579.0,3.3,0.94
2025-08-15 20:00:00,,,,363.0,-4.1,2.3,-0.7,5.0,48124.0,3.4,0.89
2025-08-15 21:00:00,,,,368.0,-4.2,0.7,1.9,4.9,60450.0,3.4,0.92
2025-08-15 22:00:00,,,,385.0,-1.9,3.1,1.8,4.4,68802.0,4.0,1.24
2025-08-15 23:00:00,,,,374.0,-3.2,2.2,-2.3,4.9,58537.0,3.7,1.06
2025-08-16 00:00:00,,,,374.0,-2.5,0.9,0.0,4.6,65185.0,3.6,1.04
2025-08-16 01:00:00,,,,370.0,-3.3,1.8,-1.0,4.5,67367.0,3.7,1.06
2025-08-16 02:00:00,,,,358.0,-4.4,1.2,-0.9,4.7,61941.0,3.2,0.87
2025-08-16 03:00:00,,,,363.0,-3.6,2.6,0.2,4.7,59714.0,3.9,1.08
